Base,Lat,Lon,Nom_du_jour,Jour_de_la_semaine,Heure,DayType,Nom_du_mois,DaySituation
B02512,40.738,-74.0091,Tuesday,2,0,NormalDay,September,Night
B02512,40.7405,-74.0441,Tuesday,2,0,NormalDay,September,Night
B02512,40.7446,-73.9992,Tuesday,2,0,NormalDay,September,Night
B02512,40.7459,-74.0018,Tuesday,2,0,NormalDay,September,Night
B02512,40.7494,-73.9923,Tuesday,2,0,NormalDay,September,Night
B02512,40.7512,-73.9935,Tuesday,2,0,NormalDay,September,Night
B02512,40.7517,-73.9708,Tuesday,2,0,NormalDay,September,Night
B02512,40.7549,-73.9842,Tuesday,2,0,NormalDay,September,Night
B02512,40.7598,-73.9734,Tuesday,2,0,NormalDay,September,Night
B02512,40.7607,-73.9625,Tuesday,2,0,NormalDay,September,Night
B02512,40.7631,-73.9808,Tuesday,2,0,NormalDay,September,Night
B02512,40.7644,-73.9884,Tuesday,2,0,NormalDay,September,Night
B02512,40.7685,-73.8871,Tuesday,2,0,NormalDay,September,Night
B02512,40.7972,-73.9626,Tuesday,2,0,NormalDay,September,Night
B02512,40.6483,-73.7828,Wednesday,3,0,NormalDay,September,Night
B02512,40.6601,-73.7737,Wednesday,3,0,NormalDay,September,Night
B02512,40.6949,-74.1775,Wednesday,3,0,NormalDay,September,Night
B02512,40.7073,-74.0072,Wednesday,3,0,NormalDay,September,Night
B02512,40.7084,-73.9434,Wednesday,3,0,NormalDay,September,Night
B02512,40.7098,-73.9184,Wednesday,3,0,NormalDay,September,Night
B02512,40.7101,-73.9623,Wednesday,3,0,NormalDay,September,Night
B02512,40.7101,-73.9512,Wednesday,3,0,NormalDay,September,Night
B02512,40.712,-73.9972,Wednesday,3,0,NormalDay,September,Night
B02512,40.7149,-73.9916,Wednesday,3,0,NormalDay,September,Night
B02512,40.7155,-74.0012,Wednesday,3,0,NormalDay,September,Night
B02512,40.7161,-73.9931,Wednesday,3,0,NormalDay,September,Night
B02512,40.7225,-73.992,Wednesday,3,0,NormalDay,September,Night
B02512,40.7233,-73.9562,Wednesday,3,0,NormalDay,September,Night
B02512,40.7258,-73.9838,Wednesday,3,0,NormalDay,September,Night
B02512,40.7269,-74.0021,Wednesday,3,0,NormalDay,September,Night
